UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
4.4,4.5,4.5,4.5,2.3,2.1,2.8,1.3,2.578
4.4,4.5,3.5,4.3,2.3,2.1,2.4,1.6,2.428
4.4,3.2,2.0,2.0,2.1,2.1,1.6,1.6,2.322
4.4,3.2,2.7,2.3,2.1,2.1,2.3,1.6,2.188
4.4,3.2,2.4,2.2,2.1,2.1,1.6,2.0,2.378
4.4,3.2,2.9,2.3,2.1,2.1,1.6,1.3,2.226
3.2,2.3,2.3,1.6,2.0,2.0,2.2,1.3,2.13
3.2,2.3,2.4,2.3,2.0,2.0,2.1,1.3,2.116
3.2,2.3,1.3,2.0,2.0,2.0,2.0,1.3,2.07
3.2,2.3,2.2,2.3,2.0,2.0,2.0,2.0,2.138
3.2,2.3,2.0,2.1,2.0,1.5,1.3,1.3,1.988
3.2,2.3,2.4,2.0,2.0,1.5,2.1,1.3,1.956
3.0,2.2,2.2,1.3,2.0,1.5,1.6,1.6,1.924
3.0,2.2,1.5,1.6,2.0,1.5,2.1,1.3,1.958
35.660217,11.661234,0.308609,0.113112,0.081276,0.081276,0.887494,0.042965,4.82174518
35.660217,11.661234,6.116913,4.609323,0.081276,0.081276,4.868812,0.05413,5.64448794
35.660217,11.661234,5.19223,0.163641,0.081276,0.081276,4.658558,0.040416,4.82614454
35.660217,11.661234,8.663423,1.481035,0.081276,0.081276,6.781695,0.040416,4.88291792
35.660217,11.661234,6.554842,0.052046,0.081158,0.081276,7.714825,0.067923,3.5477594
35.660217,11.661234,0.109276,0.099787,0.081158,0.081276,0.34376,0.038173,3.3517076
35.660217,11.661234,6.093855,0.068361,0.081158,0.081276,4.969977,0.081158,2.97806842
35.660217,11.661234,4.459263,0.110338,0.081158,0.081276,4.516008,0.092699,2.84625936
30.404821,11.661234,2.956232,0.068361,0.081158,0.042772,0.105664,0.057057,2.59048408
30.404821,11.661234,0.277812,0.102637,0.081158,0.042772,0.051827,0.055375,2.26121398
30.404821,11.661234,4.365929,0.066805,0.081158,0.042772,4.486387,0.073667,2.5096851
30.404821,11.661234,2.919188,0.064231,0.081158,0.042772,0.07684,0.082546,2.70168968
30.404821,8.908114,0.316557,0.105664,0.081158,0.042772,0.456845,0.042965,1.64442748
30.404821,8.908114,0.131401,0.056684,0.081158,0.042772,4.383869,0.038173,2.03673496
30.404821,8.908114,5.146802,0.038173,0.081158,0.042772,3.424193,0.051827,1.41905374
30.404821,8.908114,0.156672,0.073667,0.081158,0.042772,3.664954,0.050532,1.83997886
1.708525,0.964785,0.580306,0.464989,0.185166,0.185166,0.196775,0.464989,0.45093684
1.708525,0.964785,0.580306,0.418741,0.185166,0.185166,0.194822,0.185166,0.52012926
1.708525,0.964785,1.099494,0.199675,0.185166,0.185166,0.199675,0.185166,0.41781006
1.708525,0.964785,0.964785,0.484707,0.185166,0.185166,0.200921,0.194822,0.45504764
0.964785,0.580306,0.199675,0.196775,0.185166,0.185166,0.185166,0.194822,0.28191406
0.964785,0.580306,0.199675,0.196775,0.185166,0.185166,0.199675,0.196775,0.26499548
0.964785,0.580306,0.484707,0.200921,0.185166,0.185166,0.196775,0.185166,0.24130506
0.964785,0.580306,0.484707,0.196775,0.185166,0.185166,0.196775,0.185166,0.24673458
0.964785,0.580306,0.196775,0.196775,0.185166,0.185166,0.194822,0.185166,0.21234374
0.964785,0.580306,0.185166,0.196775,0.185166,0.185166,0.194822,0.194822,0.21604986
0.964785,0.580306,0.194822,0.194822,0.185166,0.185166,0.194822,0.194822,0.21288034
0.964785,0.580306,0.194822,0.194822,0.185166,0.185166,0.185166,0.194822,0.21860514
0.484707,0.484707,0.196775,0.196775,0.185166,0.185166,0.194822,0.194822,0.19980868
0.484707,0.484707,0.199675,0.200921,0.185166,0.185166,0.185166,0.194822,0.20034118
0.484707,0.484707,0.199675,0.196775,0.185166,0.185166,0.185166,0.194822,0.1944512
0.484707,0.484707,0.196775,0.196775,0.185166,0.185166,0.185166,0.194822,0.2057813
3.3479219,2.6201747,2.4859008,0.4257563,0.1686118,0.1686118,0.4248855,0.1791346,0.910433512
3.3479219,2.6201747,4.2982587,0.8984548,0.1686118,0.1686118,3.0824083,0.0836821,1.056839092
3.3479219,2.6201747,1.8063011,0.1310569,0.1686118,0.1686118,0.5228924,0.1682371,0.83689694
3.3479219,2.6201747,2.8204978,0.3828113,0.1686118,0.1686118,0.663896,0.1686118,10.033919038
2.2313271,0.5400401,0.5400401,0.7246141,0.1686118,0.0829075,0.663896,0.4257563,0.62839279
2.2313271,0.5400401,0.4508955,0.0829075,0.1686118,0.0829075,0.0829075,0.4330134,0.544902204
2.2313271,0.5400401,0.1682371,0.0829075,0.1686118,0.0829075,0.748916,0.4588711,0.616001726
2.2313271,0.5400401,0.5387994,0.2692838,0.1686118,0.0829075,0.6133046,0.1130869,0.62639394
2.2313271,0.5400401,0.3734226,0.0836821,0.1686118,0.0829075,0.6204904,0.1509983,0.52410037
2.2313271,0.5400401,0.0829075,0.1130869,0.1686118,0.0829075,0.2245181,0.0829075,0.429346562
